#140Conf: The State of Now,1514,8,135 W 50th St New York NY
(NYAI) New York Artificial Intelligence,3004,74,43 W. 23rd Street New York NY
(NYVR) Virtual Reality NYC,5442,1,335 Madison Avenue New York NY
ABC Hoops - Indoor Pickup Basketball,1291,16,439 West 49th Street New York NY
ACM New York City,1427,13,65-30 Kissena Blvd Queens NY
ARNY - Augmented Reality New York,3171,104,335 Madison Ave New York NY
AWS New York | Official Meetup,5034,330,315 W 36th Street New York NY
Action Design NYC,2105,87,229 W 28th New York NY
Advertising / Marketing Analysts,6191,157,38 W 26th St New York NY
Agile Experience Design,5584,38,101 6th Ave New York NY
Algorithms and Data Structures,1931,3,1335 Avenue of the Americas New York NY
Analytics & Data Science by Dataiku NY,1997,377,902 Broadway New York NY
Angular NYC,7072,324,86 9th Avenue New York NY
Art & Tech Collective,1292,49,197 Liberty St Bloomfield NJ
Bayesian Data Analysis,1329,29,75 9th Ave New York NY
Bergen Makerspace,1614,8,190 Hackensack Ave Hackensack NJ
Big Data (native Hadoop) Ingest & Transform, New York,1799,2,811 7th Avenue New York NY
Big Data Developers in NYC,3649,10,137 Varick Street New York NY
Big On Data,2511,1,1605 Broadway New York NY
BitDevs NYC,3064,197,303 Spring Street New York NY
Black Technology Professionals - BTP NY,2015,4,641 West 50th New York NY
Blockmatics,1024,1,315 Hudson Street New York NY
BlueWaterLabs NYC,1316,9,40 Rector Street New York NY
Brooklyn Futurist Meetup,5044,200,205 State Street Brooklyn NY
Brooklyn Tech Meetup,3132,23,355A Bowery New York NY
Byte Academy: Python|| FinTech|| Blockchain||DataSci|| Quant,4478,4,295 Madison Ave New York NY
CSNYC + CSTA-NYC,2147,135,11 Times Square New York NY
CSS Layout Club NYC,1185,217,1384 Broadway New York NY
Central NJ Design Meetup,1018,38,414 Raritan Avenue Highland Park NJ
Chef-NYC (for users of Chef),1028,17,110 William St New York NY
Clojure NYC,1466,67,55 Water Street New York NY
CocoaPods NYC,1026,32,401 Broadway New York, NY
Cognitive Artificial Intelligence Meetup (#CAIM),1377,203,625 6th Ave New York NY
Columbia Data Science Institute,2196,17,530 West 120th Street New York NY
Community Managers Meetup,1838,1,1535 Broadway New York NY
Content Strategy NYC,3344,123,45 Main Street Brooklyn NY
Continuous Delivery : NYC,3268,46,99 Madison Ave New York NY
Crypto 2020,1105,272,122 West 26th Street New York NY
Daily News Innovation Lab,1271,47,11 Times Square New York NY
Data Driven NYC (a FirstMark Event),14591,531,731 Lexington Ave New York NY
Data Science New York,1713,24,1216 Broadway New York NY
Data Science and Machine Learning • ProgramWithUs.com,2825,3,49 W 33rd Street New York NY
Data Skeptics,4179,110,315 Hudson Street New York NY
Data Technology Training,1544,6,121 Newark Avenue Jersey City NJ
Deep Learning NYC,1054,74,220 5th Ave New York NY
Design & Prototype NYC Meetup,2714,10,137 W 25th Street New York NY
Design First,1288,137,115 W 18th Street New York NY
Dev Bootcamp NYC Events and Workshops,4125,3,48 Wall Street New York NY
Disruptive Technologists in NYC,2150,300,11 Times Square New York NY
Drupal NYC,1749,96,30 Rockefeller Center New York NY
Eaters Drinkers Meetup,1143,1,47 8th Avenue New York NY
Educational Data Mining/ Learning Analytics in NYC,1252,119,27 East 28th Street New York NY
Ember.js NYC,1981,35,5 Bryant Park New York NY
Engage Mobile App Meetup,1070,20,775 Washington Street New York NY
Enterprise Tech Meetup,1261,62,902 Broadway New York NY
Entrepreneurs + VCs NYC,2535,3,2920 Broadway New York NY
Ethical Tech,1152,54,99 Madison Ave New York NY
Evening with a Data Scientist,1047,15,315 West 36th Street New York NY
Fashion 2.0,2270,1,129 W 67th Street New York NY
Food+Tech Meetup,5832,80,6 Harrison Street New York NY
Frontier Tech: Robots|| Drones & More [FirstMark's Hardwired],6064,309,115 West 18th Street New York NY
GDG Cloud NYC,1756,2,75 Ninth Ave New York NY
Geo NYC,2814,119,169 8th Avenue New York NY
Girl Develop It NYC,13016,11,18 W 21st Street New York NY
Goodnik,1861,27,135 Madison Ave New York NY
Google Developer Group (GDG) NYC,5108,291,75 9th Avenue New York NY
Google Developers Platform - NYC Area,198,6,111 8th Avenue New York NY
GothamSass,1020,37,22 West 19th Street New York NY
Graphic Design NYC,2116,2,333 West 23rd Street New York NY
GrowHack,1212,2,333 Adams Street Brooklyn NY
Hack && Tell,3922,41,20 Jay Street Brooklyn NY
Hack Manhattan,4731,7,137 West 14th Street New York NY
Hack Mosaic,1944,63,101 Avenue of the Americas New York NY
Hack Reactor NYC,2219,24,369 Lexington Avenue New York NY
HackerNest NYC Tech Socials,9045,316,837 Washington Street New York NY
Health 2.0 NYC - The New York Healthcare Innovation Group,6120,22,25 W 39th Street New York NY
Health Devs NYC,1195,8,111 8th Ave New York NY
Hyperledger NYC,2276,88,43 W 23rd Street New York NY
IGDA NYC,1295,3,305 Nevins Street Brooklyn NY
IOTA Foundation: Beyond Blockchain NYC,1183,160,49 Howard Street New York NY
Innovation Technology Meetup,1452,1,150 Bleeker Street Newark NJ
Inside Startups Club,8864,68,150 Broadway Manhattan NY
Internet of Things (IoT) NY,5915,153,335 Madison Avenue New York NY
IoT Nation™ | NYC (Internet of Things Events),5826,59,721 Broadway New York NY
Jersey City/Hoboken/Newark Business & Tech,1409,4,140 River Drive South Jersey City NJ
Learn Python NYC,5522,34,568 Broadway New York NY
LispNYC,1563,51,218 West 18th Street New York NY
LocalTech New York,5945,13,575 5th Ave New York NY
Lotico New York Semantic Web,1646,3,181 N 11th Street Brooklyn NY
Machine Learning Society - New York Chapter,1082,100,27 East 28th Street New York NY
Machine Learning and Data Science Business Network,1729,114,33 Irving Place New York NY
MakerBar,1421,6,38 Jackson St Hoboken NJ
Microsoft Azure User Group - NYC,1345,81,639 West 46th Street New York NY
Microsoft Makers & App Devs of New York City (#MMADNYC),1728,1,335 Madison Ave New York NY
Mobile Growth New York,1687,156,110 5th Avenue New York NY
N-Languages,1647,41,218 W 18th Street New York NY
NJ Tech Meetup,6792,23,1 Castle Point Terrace New Jersey NY
NY Blockchain Meetup,1112,93,620 8th Avenue New York NY
NY Data Wizards,1742,8,128 E 4th Street New York NY
NY Enterprise Technology Meetup,5248,138,110 Fifth Avenue New York NY
NY Graph Meetup,1051,38,315 W 36th Street, New York NY
NY Hardware Start-up,4671,230,11 Times Square New York NY
NY JavaScript,5845,25,270 Greenwich Street New York NY
NY MusicTech Meetup,2738,44,421 West 54th Street New York NY
NY Tech Meetup,57470,250,28 West 23rd Street New York NY
NY Tech Mixer,4606,139,621 West 46th Street New York NY
NY Tech Tank,6241,59,575 5th Ave New York NY
NY Technology + Finance Network,1522,4,224 West 49th Street New York NY
NY Video,3886,38,350 Fifth Ave New York NY
NYC .NET Developers,1027,43,11 Times Square New York NY
NYC Amazon Web Services User Group & Forums,1836,2,204 East 38th Street New York NY
NYC Apache Lucene/Solr Meetup,1300,77,43 West 23rd Street New York NY
NYC Apps,3666,43,408 Broadway New York NY
NYC BIG DATA VISIONARIES,1183,228,55 East 52nd Street New York NY
NYC Big Data Meetup,2624,2,1605 Broadway New York NY
NYC CRYPTO HUB,3104,16,575 5th Ave New York NY
NYC Cassandra User Group,1262,59,122 West 7th Street New York NY
NYC Creative Entrepreneurs,3115,5,235 West 23rd Street New York NY
NYC CrowdFunding,2128,19,677 5th Avenue New York NY
NYC Data Engineering,2029,24,129 East 15th Street New York NY
NYC Design Systems Coalition,1157,213,242 West 41st Street New York NY
NYC Digital Asset Managers,1160,33,12 East 36th Street New York NY
NYC Lean/Kanban,1699,6,108 Jay Street Brooklyn NY
NYC Machine Learning,11559,187,625 6th Ave New York NY
NYC Mobile .NET Developers Group,1841,49,11 Times Square New York NY
NYC Nodejs,5540,171,350 5th Avenue New York NY
NYC Predictive Analytics,4725,230,355 W 16th Street New York NY
NYC PyLadies,2829,52,632 Broadway New York NY
NYC Ruby Women,1342,17,115 Broadway New York NY
NYC Scrum User Group,1458,111,270 Park Avenue New York NY
NYC Selenium Meetup,1626,60,99 Madison Avenue New York NY
NYC Social|| Marketing & Media Professionals Opportunity Hub,2610,1,1535 Broadway New York NY
NYC Startup Community,4983,37,119 West 24th Street New York NY
NYC Tech Happy Hour,2255,21,575 5th Ave New York NY
NYC TechBreakfast,5023,47,485 Lexington Ave New York NY
NYC Technology Startups,5195,83,85 5th Ave New York NY
NYC Testers,1725,14,1601 Broadway New York NY
NYC UX Design Meetup,1246,50,111 John Street New York NY
NYC UX/User Researchers Meetup,1704,117,45 Main Street Brooklyn NY
NYC iOS Study Group,1927,39,902 Broadway New York NY
NYC.rb,5082,96,195 Broadway New York NY
NYLUG - New York Linux Users Group,5638,21,32 Waverly Place New York NY
NYTechWomen|| a project of Bella Minds,1702,1,99 Madison Ave New York NY
New York 3D Printing,1016,8,306 Tompkins Ave Brooklyn NY
New York ALT.NET Software Development Group,2016,14,11 Times Square New York NY
New York Android Developers,4136,132,40 West 23rd Street New York NY
New York Artificial Intelligence In Healthcare,1565,40,73 8th Avenue New York NY
New York BIG DATA-HADOOP Information Sessions,1065,27,115 Broadway New York NY
New York Big Data Workshop,1899,69,101 Avenue of the Americas New York NY
New York C++ Developers Group,2192,75,229 West 43rd Street New York NY
New York City (NYC) Advanced Analytics Meetup,1816,293,55 East 52nd Street New York NY
New York City IBM Cloud (Bluemix) meetup,1373,1,315 Hudson Street New York NY
New York City PostgreSQL User Group,2389,64,110 Fifth Avenue New York NY
New York City Salesforce Developer Group,1177,83,1441 Broadway New York NY
New York Data Science Study Group,4495,85,10 Exchange Place Jersey City NJ
New York Data Science,5208,16,315 Hudson Street New York NY
New York Digital Product Group,1593,159,45 Main Street Brooklyn NY
New York Entrepreneurs & Startups,1140,13,845 United Nations Plaza New York NY
New York Game Makers,1460,1,305 Nevins Street Brooklyn NY
New York Hadoop User group,4198,1,1605 Broadway New York NY
New York Haskell Users Group,1870,92,96 Spring Street New York NY
New York Knowledge Engineering Meetup,1178,70,111 8th Ave New York NY
New York Kubernetes Meetup,1724,274,11 W 19th Street New York NY
New York Mobile Startups,1898,160,1114 Avenue of the Americas New York NY
New York Open Statistical Programming Meetup,9155,125,350 West Broadway New York NY
New York PHP Meetup,2046,35,902 Broadway New York NY
New York Tech for Social Good,1062,5,36 East 23rd Street New York NY
New York iOS Developer Meetup,6402,87,388 Union Ave Brooklyn NY
Open Source NYC,2457,82,200 Fifth Avenue New York NY
Opportunities for NYC Technology & Finance Professionals,4541,3,1535 Broadway New York NY
Papers We Love,2509,191,101 Avenue of the Americas New York NY
Problem Solving Practice for Coders,1610,27,295 Madison Ave New York NY
Product Hunt NYC,1839,63,335 Madison Ave New York NY
Python For Beginners • ProgramWithUs.com,2470,6,49 W 33rd Street New York NY
Queens & Long Island Tech Meetup,1778,10,3825 Belle Blvd Bayside NY
QueensJS,1172,51,38-04 Broadway Astoria NY
React NYC,3333,345,115 West 18th Street New York NY
React Native NYC,1711,217,200 Vesey Street New York NY
ReactJS New York,1246,80,51 Astor Place New York NY
Reactive New York,1275,47,110 Fifth Avenue New York NY
Responsive Web Design NYC,1086,1,250 Bedford Park Blvd W Bronx NY
Rise New York,1687,36,43 West 23rd Street New York NY
Ruby Nuby™,1196,1,64 3rd Avenue New York NY
SEMPO Cities New York,1039,1,64 3rd Avenue New York NY
SQL NYC|| The NoSQL & NewSQL Database Meetup,19490,266,350 W. Broadway New York NY
Social Data and Analytics - NY,1874,44,101 Avenue of the Americas New York NY
Spark-NYC,2145,108,590 Madison Avenue New York NY
Startup Founder Panel,1092,86,43 West 23rd Street, New York NY
Startup Grind NYC,10164,43,101 Avenue of the Americas New York NY
Startup Newark,2084,8,25 Lafayette Street Newark NJ
Startup Saturdays New York,2503,6,6 W 25th Street New York NY
Team Exponent,1033,2,335 Madison Ave New York NY
Tech After Hours NYC,1246,46,677 Fifth Ave New York NY
Tech Innovation Nation-NY,1175,7,6 W 25th Street New York NY
Tech Talks @ AppNexus NYC,5076,99,28 West 23rd Street New York NY
Tech Talks @ Skillshare,1464,347,35 East 21st Street New York NY
Tech Talks at Meetup,1892,110,632 Broadway New York NY
The Brooklyn Mobile Designer Meetup,1228,1,345 West 35th Street New York NY
The NYC Restaurant Tech Group,1571,54,1251 Avenue of the Americas New York NY
The New York City MS SharePoint Developers User Group,1082,1,11 Times Square New York NY
The New York Python Meetup Group,11500,80,11 Times Square New York NY
The New York Robotics & Maker-Tech Group,2221,1,10 Hudson Yards New York NY
The Thalesians,2334,18,60 Washington Square South New York NY
ThoughtWorks Tech Talks NYC,2869,200,99 Madison Ave New York NY
Turn To Tech,1521,10,40 Rector Street New York NY
UX + Data,4309,99,110 5th Avenue New York NY
UX Book Club NYC,1661,9,81 Prospect Street Brooklyn NY
Unity Education NYC - VR && AR,1014,16,11 Times Square New York NY
Urban Data NYC,1294,45,29 Norman Ave Brooklyn NY
User Experience HQ (NYC),1085,97,252 West 37th Street New York NY
WordPress NYC Meetup Group,6445,111,11 Times Square New York NY
Write/Speak/Code NYC,1525,111,195 Broadway New York NY
brandhackers™,1899,43,230 Park Ave New York NY
fat cat FAB LAB,4179,10,224 West 4th Street New York NY
iOSoho - New York City's largest iOS Engineer Meetup,1964,248,770 Broadway New York NY
ny-scala,3377,80,27 East 28th Street New York NY
nycdevops,2342,108,110 William Street New York NY
